Geneid,log2FoldChange,pvalue,padj
Os08g0128000,0.71374547,0.007724434,0.04272953
Os01g0306800,0.719735602,0.007722286,0.042726869
Os06g0702700,0.547687892,0.007717302,0.042708518
Os09g0572700,-0.633578824,0.007659028,0.042395177
Os03g0767600,2.13070624,0.007653238,0.042372282
Os04g0472400,-0.509691964,0.007644923,0.042335392
Os11g0148500,0.373762657,0.007643717,0.042335392
Os02g0539600,0.50603651,0.007633646,0.042291224
Os05g0300700,0.512028232,0.00762996,0.042279945
Os02g0218700,-2.324048198,0.00761385,0.0421998
Os03g0165300,1.966488205,0.007602293,0.042144861
Os03g0847900,0.970570732,0.007592495,0.042099651
Os07g0557500,0.437470213,0.00758579,0.042071577
Os01g0267100,-0.423547563,0.007578115,0.042038113
Os03g0668400,-0.713674438,0.007555777,0.041923275
Os03g0792900,0.378827378,0.007552764,0.04191563
Os06g0613200,0.750806608,0.007546492,0.041889895
Os06g0191800,4.265358724,0.007544377,0.041887233
Os03g0250000,-0.520472739,0.007537637,0.041859142
Os04g0619200,0.627205959,0.007535722,0.041859142
Os07g0548800,0.51606787,0.007537684,0.041859142
Os09g0286400,-0.363161316,0.007530087,0.041844159
Os03g0243800,0.754364315,0.007519178,0.041792605
Os03g0639400,3.747934436,0.007508214,0.041740715
Os10g0532300,-0.5384084,0.007503306,0.041722485
Os02g0677300,-5.166764443,0.007499472,0.041710219
Os09g0504700,-0.367671791,0.007495528,0.041697335
Os06g0606700,1.046519605,0.007492388,0.041688917
Os01g0375100,-0.392311011,0.007481163,0.041639089
Os11g0129700,1.184785862,0.007481808,0.041639089
Os11g0697001,1.025565401,0.007469287,0.041587472
Os02g0814200,1.509835621,0.007464892,0.041572031
Os01g0871300,0.368930014,0.007461087,0.041562017
Os04g0543500,-0.413976892,0.007461471,0.041562017
Os12g0603300,-5.135546037,0.007461392,0.041562017
Os09g0552300,-0.593292841,0.007459702,0.041562017
Os07g0162600,-1.130854031,0.00744541,0.041510322
Os11g0444700,-0.524358849,0.007445711,0.041510322
Os08g0558000,0.431462799,0.007437212,0.041480995
Os02g0274100,-0.360283037,0.007433752,0.041470725
Os05g0214900,0.662805658,0.007433584,0.041470725
Os05g0500500,-0.535999606,0.007433483,0.041470725
Os08g0417000,0.711410185,0.007433414,0.041470725
Os01g0866800,-0.39737902,0.007421058,0.041435993
Os07g0566200,-0.385333047,0.007417298,0.041424027
Os11g0498400,-0.432757871,0.007415497,0.041422993
Os02g0258000,-1.492781165,0.007412109,0.0414187
Os11g0162700,0.645090531,0.007413112,0.0414187
Os08g0480800,-0.498008176,0.007412652,0.0414187
Os11g0444900,-1.502311009,0.007397272,0.041357254
Os06g0683950,0.894769867,0.00738733,0.041310684
Os01g0328600,0.525845473,0.007385633,0.041310213
Os03g0795000,-0.754623666,0.007382734,0.041303012
Os01g0775400,0.809240025,0.007378245,0.041295137
Os04g0581700,2.117048541,0.007379715,0.041295137
Os03g0829100,-0.446369883,0.007359527,0.041200167
Os06g0665500,0.373555057,0.007357541,0.041200167
Os10g0548400,-0.716410893,0.007357952,0.041200167
Os06g0286700,2.353224413,0.00734179,0.041127831
Os06g0708700,-0.416916987,0.007340759,0.041127831
Os01g0254200,0.462946373,0.007337599,0.041122332
Os02g0196000,0.482757501,0.007328508,0.041087682
Os08g0198700,-2.018110756,0.007329813,0.041087682
