geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd1,hd2,hd3,c1,c2,c3
Os01g0111700,3.896203943,4.082375011,1.783581103,2.288864243,0.022087241,0.093593649,6.584342066,6.58094087,7.063514556,6.559612555,6.382921164,6.382921164
Os01g0111800,135.0101054,-0.214787927,0.286608596,-0.74941202,0.453608909,0.68540614,8.056405539,7.77144262,8.279170582,8.085430357,8.297727292,8.11082862
Os01g0111900,166.2830624,-0.737520782,0.232387237,-3.173671635,0.001505239,0.011579967,8.099675445,7.924585237,8.121266753,8.566657236,8.509210713,8.329643679
Os01g0112000,33.32114986,1.898990156,0.497322438,3.818428468,0.000134305,0.001602854,7.371395417,7.47752482,7.632583726,6.814385704,7.108150235,6.951156431
Os01g0112050,8.782269152,-0.30829905,0.791712396,-0.389407885,0.69697444,0.84976353,6.853588726,6.725366165,6.87668196,6.880522106,6.869208631,6.868359006
Os01g0112100,57.42861074,-0.192861844,0.340568515,-0.566293814,0.571194065,0.76928807,7.470287206,7.532991489,7.525258599,7.695247198,7.60376015,7.436250426
Os01g0112300,504.766037,-0.367981897,0.202284004,-1.81913493,0.068890847,0.21044232,9.367748936,9.122939322,9.152957277,9.799369635,9.347761582,9.311148263
Os01g0112400,2.191014739,-3.826797818,1.972514934,-1.94006025,0.052372368,0.174282682,6.382921164,6.522997152,6.382921164,6.848669705,6.626926636,6.55525767
Os01g0112500,1218.76296,-0.670536315,0.14356936,-4.67046947,3.01E-06,6.31E-05,10.08367994,10.14410027,10.08580208,10.53454939,10.76376768,10.7789009
Os01g0113000,28.54960468,0.62097908,0.5151232,1.205496238,0.228011789,0.456183812,7.352149421,7.382949211,7.132383934,6.910384023,7.266642424,7.145193891
Os01g0113200,25.70616193,-1.144030999,0.584064206,-1.958741842,0.050143028,0.16892122,6.913272372,7.200945148,6.855851386,7.164027538,7.146510078,7.545870458
Os01g0113600,16.24741007,0.379554078,0.605851896,0.62647997,0.531000171,0.7425135,7.115688015,6.939978273,7.091930306,6.910384023,6.952147546,7.044950585
Os01g0113800,10.47076828,0.774027741,0.861753593,0.898200771,0.369078523,0.609140031,6.758985684,6.973318316,7.077878741,6.910384023,6.555561783,6.897506
Os01g0114000,2.839527569,3.604977478,1.905371166,1.892007994,0.058489916,0.188116206,6.525405037,6.956903051,6.585317405,6.382921164,6.382921164,6.55525767
Os01g0115100,19.29850752,0.147832352,0.674374792,0.219213936,0.8264834,0.923580721,7.332455132,6.904399879,6.934298891,7.164027538,7.127598745,6.803814466
Os01g0115300,13.7771826,-0.177078018,0.646115134,-0.274065733,0.784034107,0.899889225,6.999542208,6.939978273,6.896637317,7.061401963,7.001019093,6.868359006
Os01g0115600,41.07820762,-0.801750892,0.516771278,-1.551461789,0.120791058,0.305802714,7.408644388,7.129201478,7.132383934,7.487805059,7.792018301,7.066271116
Os01g0115700,5.000400642,-2.120677375,1.187448289,-1.785911348,0.074113613,0.221220544,6.382921164,6.695651005,6.585317405,6.910384023,6.804552836,6.767367962
Os01g0116300,42.49870984,0.445478017,0.404878168,1.100276707,0.271211578,0.506394685,7.487159178,7.46105094,7.440470355,7.318545562,7.127598745,7.461756614
Os01g0116900,180.1186266,-0.073807463,0.22080106,-0.334271324,0.738174827,0.874890309,8.421803646,8.340531119,8.202755354,8.462355645,8.291812847,8.346724451
Os01g0117050,40.9830328,-0.644774992,0.449522815,-1.434354323,0.151471175,0.353152496,7.371395417,7.32669247,7.048817432,7.641821642,7.266642424,7.474247043
Os01g0117100,51.76481435,0.35086725,0.38534852,0.910519263,0.362548728,0.603278999,7.683198995,7.400909991,7.557144698,7.236562382,7.488430304,7.522593957
Os01g0117450,27.96623018,2.839935437,0.600891283,4.726205084,2.29E-06,4.93E-05,7.461733899,7.592676866,7.316640543,6.735645681,6.626926636,6.951156431
Os01g0117600,3.901578144,3.107367428,1.48297088,2.09536645,0.03613843,0.133579772,6.808996385,6.824330601,6.760799345,6.559612555,6.382921164,6.55525767
Os01g0117700,9.609897312,1.122707094,0.853690499,1.315121927,0.188468929,0.405164457,6.913272372,6.989265537,6.952154149,6.735645681,6.555561783,6.92502623
Os01g0117900,108.775545,-0.148718373,0.292910213,-0.507726828,0.611644931,0.795909491,7.882461736,7.777512339,8.063715122,8.100043061,8.078788288,7.752839873
Os01g0118000,1072.482515,0.327498316,0.160264321,2.043488618,0.041004093,0.146038959,10.33571774,10.31243127,10.55294643,10.25300796,9.93039999,10.15437157
Os01g0118066,79.946458,-0.470128948,0.368111425,-1.277137615,0.201553667,0.4216533,7.723494129,7.80145593,7.316640543,7.969671296,7.614577152,7.909790273
Os01g0118100,749.0086773,-0.202929556,0.148118975,-1.370044284,0.170673078,0.380367611,9.784028012,9.79596184,9.634519602,9.902022029,9.956882642,9.866082637
Os01g0118300,15.36095686,1.385908549,0.66374015,2.088028801,0.036795237,0.135238012,7.179116621,6.92249594,7.218569004,6.848669705,6.838068007,6.83727187
Os01g0118400,275.1703985,0.935756822,0.220847111,4.237125022,2.26E-05,0.000358976,9.26459351,8.765331188,8.946463654,8.395478279,8.405132509,8.363577613
Os01g0118600,40.00886253,0.560034665,0.409924939,1.366188322,0.171879862,0.382033111,7.417714294,7.444274653,7.483833506,7.236562382,7.411740696,7.126313737
Os01g0118700,363.9316276,-0.155819858,0.188482523,-0.8267072,0.408403039,0.646486869,9.052537913,8.980331301,8.830187865,9.235546285,8.958542386,9.000515343
Os01g0119000,72.81042096,-0.428276436,0.312081875,-1.372320761,0.169963605,0.379320396,7.69002401,7.47752482,7.595582954,7.876758302,7.697186893,7.733915368
Os01g0119050,25.09505512,0.432593403,0.506007886,0.85491435,0.392598566,0.631861471,7.312283632,7.165974442,7.170590085,6.990872439,7.234234358,7.066271116
